time,values
2891,-0.6249030004
2892,-0.6237238318
2893,-0.6225533335
2894,-0.6213741649
2895,-0.6202036667
2896,-0.6190244981
2897,-0.6178539999
2898,-0.6166748313
2899,-0.615504333
2900,-0.6143251644
2901,-0.6131546662
2902,-0.6119841679
2903,-0.6108049993
2904,-0.6096345011
2905,-0.6084553325
2906,-0.6072848342
2907,-0.6061056656
2908,-0.6049351674
2909,-0.6037559988
2910,-0.6025855006
2911,-0.601406332
2912,-0.6002271634
2913,-0.5990566651
2914,-0.5978774965
2915,-0.5966983279
2916,-0.5955278297
2917,-0.5943486611
2918,-0.5931694925
2919,-0.5919989942
2920,-0.5908198256
2921,-0.589640657
2922,-0.5884701588
2923,-0.5872909902
2924,-0.5861118216
2925,-0.5849413234
2926,-0.5837621548
2927,-0.5825916565
2928,-0.5814124879
2929,-0.5802333193
2930,-0.5790628211
2931,-0.5778923228
2932,-0.5767131542
2933,-0.575542656
2934,-0.5743634874
2935,-0.5731929891
2936,-0.5720138205
2937,-0.5708433223
2938,-0.5696728241
2939,-0.5684936555
2940,-0.5673231572
2941,-0.566152659
2942,-0.5649734904
2943,-0.5638029921
2944,-0.5626324939
2945,-0.5614619957
2946,-0.5602828271
2947,-0.5591123288
2948,-0.5579418306
2949,-0.5567713323
2950,-0.5555921637
2951,-0.5544216655
2952,-0.5532511672
2953,-0.552080669
2954,-0.5509015004
2955,-0.5497310022
2956,-0.5485605039
2957,-0.5473813353
2958,-0.5462108371
2959,-0.5450316685
2960,-0.5438611702
2961,-0.5426820016
2962,-0.5415115034
2963,-0.5403323348
2964,-0.5391618366
2965,-0.5379913383
2966,-0.5368121697
2967,-0.5356416715
2968,-0.5344625029
2969,-0.5332920046
2970,-0.532112836
2971,-0.5309423378
2972,-0.5297631692
2973,-0.5285926709
2974,-0.5274135023
2975,-0.5262430041
2976,-0.5250638355
2977,-0.5238933373
2978,-0.522722839
2979,-0.5215436704
2980,-0.5203731722
2981,-0.5191940036
2982,-0.5180235053
2983,-0.5168443367
2984,-0.5156738385
2985,-0.5144946699
2986,-0.5133241717
2987,-0.5121536734
2988,-0.5109745048
2989,-0.5098040066
2990,-0.508624838
2991,-0.5074543397
2992,-0.5062838415
2993,-0.5051046729
2994,-0.5039341746
2995,-0.502755006
2996,-0.5015845078
2997,-0.5004053392
2998,-0.499234841
2999,-0.4980556724
3000,-0.4968851741
3001,-0.4957146759
3002,-0.4945355073
3003,-0.493365009
3004,-0.4921858404
3005,-0.4910153422
3006,-0.4898361736
3007,-0.4886656754
3008,-0.4874865068
3009,-0.4863160085
3010,-0.4851455103
3011,-0.4839663417
3012,-0.4827958434
3013,-0.4816166748
3014,-0.4804461766
3015,-0.479267008
3016,-0.4780965097
3017,-0.4769173411
3018,-0.4757468429
3019,-0.4745676743
3020,-0.4733971761
3021,-0.4722180075
3022,-0.4710475092
3023,-0.4698683406
3024,-0.4686978424
3025,-0.4675186738
3026,-0.4663481755
3027,-0.4651690069
3028,-0.4639985087
3029,-0.4628193401
3030,-0.4616488419
3031,-0.4604696733
3032,-0.459299175
3033,-0.4581200064
3034,-0.4569495082
3035,-0.4557790099
3036,-0.4545998413
3037,-0.4534293431
3038,-0.4522588448
3039,-0.4510796762
3040,-0.449909178
3041,-0.4487386798
3042,-0.4475681815
3043,-0.4463976833
3044,-0.4452185147
3045,-0.4440480164
3046,-0.4428775182
3047,-0.44170702
3048,-0.4405278514
3049,-0.4393573531
3050,-0.4381868549
3051,-0.4370163566
3052,-0.435837188
3053,-0.4346666898
3054,-0.4334961915
3055,-0.4323170229
3056,-0.4311465247
3057,-0.4299760265
3058,-0.4287968579
3059,-0.4276263596
3060,-0.426447191
3061,-0.4252766928
3062,-0.4240975242
3063,-0.4229270259
3064,-0.4217478573
3065,-0.4205773591
3066,-0.4193981905
3067,-0.4182190219
3068,-0.4170485237
3069,-0.4158693551
3070,-0.4146901865
3071,-0.4135196882
3072,-0.4123405196
3073,-0.411161351
3074,-0.4099821824
3075,-0.4088116842
3076,-0.4076325156
3077,-0.406453347
3078,-0.4052828487
3079,-0.4041036801
3080,-0.4029245115
3081,-0.4017540133
3082,-0.4005748447
3083,-0.3993956761
3084,-0.3982251779
3085,-0.3970460093
3086,-0.395875511
3087,-0.3947050128
3088,-0.3935258442
3089,-0.3923553459
3090,-0.3911761773
3091,-0.3900056791
3092,-0.3888265105
3093,-0.3876560122
3094,-0.3864768436
3095,-0.3853063454
3096,-0.3841271768
3097,-0.3829566786
3098,-0.3817861803
3099,-0.3806070117
3100,-0.3794365135
3101,-0.3782573449
3102,-0.3770868466
3103,-0.375907678
3104,-0.3747371798
3105,-0.3735580112
3106,-0.372387513
3107,-0.3712083444
3108,-0.3700378461
3109,-0.3688673479
3110,-0.3676968496
3111,-0.3665263514
3112,-0.3653471828
3113,-0.3641766845
3114,-0.3630061863
3115,-0.3618356881
3116,-0.3606651898
3117,-0.3594946916
3118,-0.358315523
3119,-0.3571450247
3120,-0.3559658561
3121,-0.3547953579
3122,-0.3536161893
3123,-0.3524370207
3124,-0.3512578521
3125,-0.3500786835
3126,-0.3488995149
3127,-0.3477203463
3128,-0.3465498481
3129,-0.3453706795
3130,-0.3442001812
3131,-0.3430210126
3132,-0.3418505144
3133,-0.3406800161
3134,-0.3395008475
3135,-0.3383303493
3136,-0.3371511807
3137,-0.3359806824
3138,-0.3348015138
3139,-0.3348015138
3140,-0.3348015138
3141,-0.3348015138
3142,-0.3348015138
3143,-0.3348015138
3144,-0.3348015138
3145,-0.3348015138
3146,-0.3348015138
3147,-0.3348015138
3148,-0.3348015138
3149,-0.3348015138
3150,-0.3348015138
3151,-0.3348015138
3152,-0.3348015138
3153,-0.3348015138
3154,-0.3348015138
3155,-0.3348015138
3156,-0.3348015138
3157,-0.3348015138
3158,-0.3348015138
3159,-0.3348015138
3160,-0.3348015138
3161,-0.3348015138
3162,-0.3348015138
3163,-0.3348015138
3164,-0.3348015138
3165,-0.3348015138
3166,-0.3348015138
3167,-0.3348015138
3168,-0.3348015138
3169,-0.3348015138
3170,-0.3348015138
3171,-0.3348015138
3172,-0.3348015138
3173,-0.3348015138
3174,-0.3348015138
3175,-0.3348015138
3176,-0.3348015138
3177,-0.3348015138
3178,-0.3348015138
3179,-0.3348015138
3180,-0.3348015138
3181,-0.3348015138
3182,-0.3348015138
3183,-0.3348015138
3184,-0.3348015138
3185,-0.3348015138
3186,-0.3348015138
3187,-0.3348015138
3188,-0.3348015138
3189,-0.3348015138
3190,-0.3348015138
3191,-0.3348015138
3192,-0.3348015138
3193,-0.3348015138
3194,-0.3348015138
3195,-0.3348015138
3196,-0.3348015138
3197,-0.3348015138
3198,-0.3348015138
3199,-0.3348015138
3200,-0.3348015138
3201,-0.3348015138
3202,-0.3348015138
3203,-0.3348015138
3204,-0.3348015138
3205,-0.3348015138
3206,-0.3348015138
3207,-0.3348015138
3208,-0.3348015138
3209,-0.3348015138
3210,-0.3348015138
3211,-0.3348015138
3212,-0.3348015138
3213,-0.3348015138
3214,-0.3348015138
3215,-0.3348015138
